label,why
ma,common word (my)
sur,common word (over)
savoir,common word (know)
eau,common word (water)
que,common word (than)
appel,common word (call)
première,common word (first)
qui,common word (who)
peut,common word (may)
vers le bas,common word (down)
côté,common word (side)
été,common word (been)
maintenant,common word (now)
trouver,common word (find)
tête,common word (head)
supporter,common word (stand)
propre,common word (own)
page,common word (page)
devrait,common word (should)
pays,common word (country)
trouvé,common word (found)
réponse,common word (answer)
école,common word (school)
croître,common word (grow)
étude,common word (study)
encore,common word (still)
apprendre,common word (learn)
usine,common word (plant)
couvercle,common word (cover)
nourriture,common word (food)
soleil,common word (sun)
quatre,common word (four)
entre,common word (between)
état,common word (state)
garder,common word (keep)
œil,common word (eye)
jamais,common word (never)
dernier,common word (last)
laisser,common word (let)
pensée,common word (thought)
ville,common word (city)
arbre,common word (tree)
traverser,common word (cross)
ferme,common word (farm)
dur,common word (hard)
début,common word (start)
puissance,common word (might)
histoire,common word (story)
scie,common word (saw)
loin,common word (far)
mer,common word (sea)
tirer,common word (draw)
gauche,common word (left)
tard,common word (late)
courir,common word (run)
needs a context,common word (don’t)
tandis que,common word (while)
presse,common word (press)
proche,common word (close)
nuit,common word (night)
réel,common word (real)
vie,common word (life)
peu,common word (few)
nord,common word (north)
livre,common word (book)
porter,common word (carry)
a pris,common word (took)
science,common word (science)
manger,common word (eat)
chambre,common word (room)
ami,common word (friend)
a commencé,common word (began)
idée,common word (idea)
poisson,common word (fish)
montagne,common word (mountain)
Arrêtez,common word (stop)
une fois,common word (once)
base,common word (base)
entendre,common word (hear)
cheval,common word (horse)
coupe,common word (cut)
sûr,common word (sure)
regarder,common word (watch)
couleur,common word (color)
face,common word (face)
bois,common word (wood)
principal,common word (main)
ouvert,common word (open)
paraître,common word (seem)
ensemble,common word (together)
suivant,common word (next)
blanc,common word (white)
enfants,common word (children)
commencer,common word (begin)
eu,common word (got)
marcher,common word (walk)
exemple,common word (example)
facilité,common word (ease)
papier,common word (paper)
groupe,common word (group)
toujours,common word (always)
musique,common word (music)
ceux,common word (those)
tous les deux,common word (both)
marque,common word (mark)
souvent,common word (often)
lettre,common word (letter)
jusqu’à ce que,common word (until)
mile,common word (mile)
rivière,common word (river)
voiture,common word (car)
pieds,common word (feet)
soins,common word (care)
deuxième,common word (second)
assez,common word (enough)
plaine,common word (plain)
fille,common word (girl)
habituel,common word (usual)
jeune,common word (young)
prêt,common word (ready)
au-dessus,common word (above)
jamais,common word (ever)
rouge,common word (red)
liste,common word (list)
bien que,common word (though)
sentir,common word (feel)
parler,common word (talk)
oiseau,common word (bird)
bientôt,common word (soon)
corps,common word (body)
chien,common word (dog)
famille,common word (family)
direct,common word (direct)
pose,common word (pose)
laisser,common word (leave)
chanson,common word (song)
mesurer,common word (measure)
porte,common word (door)
produit,common word (product)
noir,common word (black)
court,common word (short)
chiffre,common word (numeral)
classe,common word (class)
vent,common word (wind)
question,common word (question)
arriver,common word (happen)
complète,common word (complete)
navire,common word (ship)
zone,common word (area)
moitié,common word (half)
rock,common word (rock)
ordre,common word (order)
feu,common word (fire)
sud,common word (south)
problème,common word (problem)
pièce,common word (piece)
dit,common word (told)
savait,common word (knew)
passer,common word (pass)
depuis,common word (since)
haut,common word (top)
ensemble,common word (whole)
roi,common word (king)
rue,common word (street)
pouce,common word (inch)
multiplier,common word (multiply)
rien,common word (nothing)
cours,common word (course)
rester,common word (stay)
roue,common word (wheel)
plein,common word (full)
force,common word (force)
bleu,common word (blue)
objet,common word (object)
décider,common word (decide)
surface,common word (surface)
profond,common word (deep)
lune,common word (moon)
île,common word (island)
pied,common word (foot)
système,common word (system)
occupé,common word (busy)
test,common word (test)
record,common word (record)
bateau,common word (boat)
commun,common word (common)
or,common word (gold)
possible,common word (possible)
plan,common word (plane)
place,common word (stead)
sec,common word (dry)
se demander,common word (wonder)
rire,common word (laugh)
mille,common word (thousand)
il ya,common word (ago)
ran,common word (ran)
vérifier,common word (check)
jeu,common word (game)
forme,common word (shape)
assimiler,common word (equate)
chaud,common word (hot)
manquer,common word (miss)
apporté,common word (brought)
chaleur,common word (heat)
neige,common word (snow)
pneu,common word (tire)
apporter,common word (bring)
oui,common word (yes)
lointain,common word (distant)
remplir,common word (fill)
est,common word (east)
peindre,common word (paint)
langue,common word (language)
entre,common word (among)
unité,common word (unit)
puissance,common word (power)
ville,common word (town)
fin,common word (fine)
certain,common word (certain)
voler,common word (fly)
tomber,common word (fall)
conduire,common word (lead)
cri,common word (cry)
sombre,common word (dark)
machine,common word (machine)
Note,common word (note)
patienter,common word (wait)
plan,common word (plan)
figure,common word (figure)
étoile,common word (star)
boîte,common word (box)
nom,common word (noun)
domaine,common word (field)
reste,common word (rest)
correct,common word (correct)
capable,common word (able)
livre,common word (pound)
Terminé,common word (done)
beauté,common word (beauty)
entraînement,common word (drive)
résisté,common word (stood)
contenir,common word (contain)
avant,common word (front)
enseigner,common word (teach)
semaine,common word (week)
finale,common word (final)
donné,common word (gave)
vert,common word (green)
oh,common word (oh)
rapide,common word (quick)
développer,common word (develop)
océan,common word (ocean)
chaud,common word (warm)
gratuit,common word (free)
minute,common word (minute)
fort,common word (strong)
spécial,common word (special)
esprit,common word (mind)
derrière,common word (behind)
clair,common word (clear)
queue,common word (tail)
produire,common word (produce)
fait,common word (fact)
espace,common word (space)
entendu,common word (heard)
meilleur,common word (best)
heure,common word (hour)
mieux,common word (better)
vrai,common word (TRUE)
pendant,common word (during)
cent,common word (hundred)
cinq,common word (five)
rappeler,common word (remember)
étape,common word (step)
tôt,common word (early)
tenir,common word (hold)
ouest,common word (west)
sol,common word (ground)
intérêt,common word (interest)
atteindre,common word (reach)
rapide,common word (fast)
verbe,common word (verb)
chanter,common word (sing)
écouter,common word (listen)
six,common word (six)
table,common word (table)
Voyage,common word (travel)
moins,common word (less)
matin,common word (morning)
dix,common word (ten)
simple,common word (simple)
plusieurs,common word (several)
voyelle,common word (vowel)
vers,common word (toward)
guerre,common word (war)
poser,common word (lay)
contre,common word (against)
modèle,common word (pattern)
lent,common word (slow)
centre,common word (center)
amour,common word (love)
personne,common word (person)
argent,common word (money)
servir,common word (serve)
apparaître,common word (appear)
route,common word (road)
carte,common word (map)
pluie,common word (rain)
règle,common word (rule)
gouverner,common word (govern)
tirer,common word (pull)
froid,common word (cold)
avis,common word (notice)
voix,common word (voice)
énergie,common word (energy)
chasse,common word (hunt)
probable,common word (probable)
lit,common word (bed)
frère,common word (brother)
œuf,common word (egg)
tour,common word (ride)
cellule,common word (cell)
croire,common word (believe)
peut-être,common word (perhaps)
choisir,common word (pick)
soudain,common word (sudden)
compter,common word (count)
carré,common word (square)
raison,common word (reason)
longueur,common word (length)
représenter,common word (represent)
art,common word (art)
sujet,common word (subject)
région,common word (region)
taille,common word (size)
varier,common word (vary)
régler,common word (settle)
parler,common word (speak)
poids,common word (weight)
général,common word (general)
glace,common word (ice)
question,common word (matter)
cercle,common word (circle)
paire,common word (pair)
inclure,common word (include)
fracture,common word (divide)
syllabe,common word (syllable)
feutre,common word (felt)
grandiose,common word (grand)
balle,common word (ball)
encore,common word (yet)
vague,common word (wave)
tomber,common word (drop)
cœur,common word (heart)
h,common word (am)
présent,common word (present)
lourd,common word (heavy)
danse,common word (dance)
moteur,common word (engine)
position,common word (position)
bras,common word (arm)
large,common word (wide)
voile,common word (sail)
matériel,common word (material)
fraction,common word (fraction)
forêt,common word (forest)
s’asseoir,common word (sit)
course,common word (race)
fenêtre,common word (window)
magasin,common word (store)
été,common word (summer)
train,common word (train)
sommeil,common word (sleep)
prouver,common word (prove)
seul,common word (lone)
jambe,common word (leg)
exercice,common word (exercise)
mur,common word (wall)
capture,common word (catch)
monture,common word (mount)
souhaiter,common word (wish)
ciel,common word (sky)
conseil,common word (board)
joie,common word (joy)
hiver,common word (winter)
sat,common word (sat)
écrit,common word (written)
sauvage,common word (wild)
instrument,common word (instrument)
conservé,common word (kept)
verre,common word (glass)
herbe,common word (grass)
vache,common word (cow)
emploi,common word (job)
bord,common word (edge)
signe,common word (sign)
visite,common word (visit)
passé,common word (past)
doux,common word (soft)
amusement,common word (fun)
clair,common word (bright)
gaz,common word (gas)
temps,common word (weather)
mois,common word (month)
million,common word (million)
porter,common word (bear)
finition,common word (finish)
heureux,common word (happy)
espoir,common word (hope)
fleur,common word (flower)
vêtir,common word (clothe)
étrange,common word (strange)
disparu,common word (gone)
commerce,common word (trade)
mélodie,common word (melody)
voyage,common word (trip)
bureau,common word (office)
recevoir,common word (receive)
rangée,common word (row)
bouche,common word (mouth)
exact,common word (exact)
symbole,common word (symbol)
mourir,common word (die)
moins,common word (least)
difficulté,common word (trouble)
cri,common word (shout)
sauf,common word (except)
écrit,common word (wrote)
semence,common word (seed)
ton,common word (tone)
joindre,common word (join)
suggérer,common word (suggest)
propre,common word (clean)
pause,common word (break)
dame,common word (lady)
cour,common word (yard)
augmenter,common word (rise)
mauvais,common word (bad)
coup,common word (blow)
huile,common word (oil)
sang,common word (blood)
toucher,common word (touch)
a augmenté,common word (grew)
cent,common word (cent)
mélanger,common word (mix)
équipe,common word (team)
fil,common word (wire)
coût,common word (cost)
perdu,common word (lost)
brun,common word (brown)
porter,common word (wear)
jardin,common word (garden)
égal,common word (equal)
expédié,common word (sent)
choisir,common word (choose)
est tombé,common word (fell)
s’adapter,common word (fit)
débit,common word (flow)
juste,common word (fair)
banque,common word (bank)
recueillir,common word (collect)
sauver,common word (save)
contrôle,common word (control)
décimal,common word (decimal)
oreille,common word (ear)
autre,common word (else)
tout à fait,common word (quite)
cassé,common word (broke)
cas,common word (case)
milieu,common word (middle)
tuer,common word (kill)
fils,common word (son)
lac,common word (lake)
moment,common word (moment)
échelle,common word (scale)
fort,common word (loud)
printemps,common word (spring)
observer,common word (observe)
enfant,common word (child)
droit,common word (straight)
consonne,common word (consonant)
nation,common word (nation)
dictionnaire,common word (dictionary)
lait,common word (milk)
vitesse,common word (speed)
méthode,common word (method)
organe,common word (organ)
payer,common word (pay)
âge,common word (age)
section,common word (section)
robe,common word (dress)
nuage,common word (cloud)
surprise,common word (surprise)
calme,common word (quiet)
pierre,common word (stone)
minuscule,common word (tiny)
montée,common word (climb)
frais,common word (cool)
conception,common word (design)
pauvres,common word (poor)
lot,common word (lot)
expérience,common word (experiment)
bas,common word (bottom)
clé,common word (key)
fer,common word (iron)
unique,common word (single)
bâton,common word (stick)
plat,common word (flat)
vingt,common word (twenty)
peau,common word (skin)
sourire,common word (smile)
pli,common word (crease)
trou,common word (hole)
sauter,common word (jump)
bébé,common word (baby)
huit,common word (eight)
village,common word (village)
se rencontrent,common word (meet)
racine,common word (root)
acheter,common word (buy)
augmenter,common word (raise)
résoudre,common word (solve)
métal,common word (metal)
si,common word (whether)
pousser,common word (push)
sept,common word (seven)
paragraphe,common word (paragraph)
troisième,common word (third)
doit,common word (shall)
en attente,common word (held)
cheveux,common word (hair)
décrire,common word (describe)
cuisinier,common word (cook)
étage,common word (floor)
chaque,common word (either)
résultat,common word (result)
brûler,common word (burn)
colline,common word (hill)
coffre-fort,common word (safe)
chat,common word (cat)
siècle,common word (century)
envisager,common word (consider)
type,common word (type)
droit,common word (law)
peu,common word (bit)
côte,common word (coast)
copie,common word (copy)
phrase,common word (phrase)
silencieux,common word (silent)
haut,common word (tall)
sable,common word (sand)
sol,common word (soil)
rouleau,common word (roll)
température,common word (temperature)
doigt,common word (finger)
industrie,common word (industry)
valeur,common word (value)
lutte,common word (fight)
mensonge,common word (lie)
battre,common word (beat)
exciter,common word (excite)
naturel,common word (natural)
vue,common word (view)
sens,common word (sense)
capital,common word (capital)
ne sera pas,common word (won’t)
chaise,common word (chair)
danger,common word (danger)
fruit,common word (fruit)
riche,common word (rich)
épais,common word (thick)
soldat,common word (soldier)
processus,common word (process)
fonctionner,common word (operate)
pratique,common word (practice)
séparé,common word (separate)
difficile,common word (difficult)
médecin,common word (doctor)
s’il vous plaît,common word (please)
protéger,common word (protect)
midi,common word (noon)
récolte,common word (crop)
moderne,common word (modern)
élément,common word (element)
frapper,common word (hit)
étudiant,common word (student)
coin,common word (corner)
partie,common word (party)
alimentation,common word (supply)
dont,common word (whose)
localiser,common word (locate)
anneau,common word (ring)
caractère,common word (character)
insecte,common word (insect)
pris,common word (caught)
période,common word (period)
indiquer,common word (indicate)
radio,common word (radio)
rayon,common word (spoke)
atome,common word (atom)
humain,common word (human)
histoire,common word (history)
effet,common word (effect)
électrique,common word (electric)
attendre,common word (expect)
os,common word (bone)
rail,common word (rail)
imaginer,common word (imagine)
fournir,common word (provide)
se mettre d’accord,common word (agree)
ainsi,common word (thus)
doux,common word (gentle)
femme,common word (woman)
capitaine,common word (captain)
deviner,common word (guess)
nécessaire,common word (necessary)
net,common word (sharp)
aile,common word (wing)
créer,common word (create)
voisin,common word (neighbor)
lavage,common word (wash)
chauve-souris,common word (bat)
plutôt,common word (rather)
foule,common word (crowd)
blé,common word (corn)
comparer,common word (compare)
poème,common word (poem)
chaîne,common word (string)
cloche,common word (bell)
dépendre,common word (depend)
viande,common word (meat)
rub,common word (rub)
tube,common word (tube)
célèbre,common word (famous)
dollar,common word (dollar)
courant,common word (stream)
peur,common word (fear)
vue,common word (sight)
mince,common word (thin)
triangle,common word (triangle)
planète,common word (planet)
se dépêcher,common word (hurry)
chef,common word (chief)
colonie,common word (colony)
horloge,common word (clock)
mine,common word (mine)
lien,common word (tie)
entrer,common word (enter)
majeur,common word (major)
frais,common word (fresh)
recherche,common word (search)
envoyer,common word (send)
jaune,common word (yellow)
pistolet,common word (gun)
permettre,common word (allow)
impression,common word (print)
mort,common word (dead)
place,common word (spot)
désert,common word (desert)
costume,common word (suit)
courant,common word (current)
ascenseur,common word (lift)
rose,common word (rose)
arriver,common word (arrive)
maître,common word (master)
piste,common word (track)
mère,common word (parent)
rivage,common word (shore)
division,common word (division)
feuille,common word (sheet)
substance,common word (substance)
favoriser,common word (favor)
relier,common word (connect)
poste,common word (post)
passer,common word (spend)
corde,common word (chord)
graisse,common word (fat)
heureux,common word (glad)
original,common word (original)
part,common word (share)
station,common word (station)
papa,common word (dad)
pain,common word (bread)
charger,common word (charge)
propre,common word (proper)
bar,common word (bar)
proposition,common word (offer)
segment,common word (segment)
esclave,common word (slave)
canard,common word (duck)
instant,common word (instant)
marché,common word (market)
degré,common word (degree)
peupler,common word (populate)
poussin,common word (chick)
cher,common word (dear)
ennemi,common word (enemy)
répondre,common word (reply)
boisson,common word (drink)
se produire,common word (occur)
support,common word (support)
discours,common word (speech)
nature,common word (nature)
gamme,common word (range)
vapeur,common word (steam)
mouvement,common word (motion)
chemin,common word (path)
liquide,common word (liquid)
enregistrer,common word (log)
signifiait,common word (meant)
quotient,common word (quotient)
dents,common word (teeth)
coquille,common word (shell)
cou,common word (neck)
oxygène,common word (oxygen)
sucre,common word (sugar)
décès,common word (death)
assez,common word (pretty)
compétence,common word (skill)
femmes,common word (women)
saison,common word (season)
solution,common word (solution)
aimant,common word (magnet)
argent,common word (silver)
merci,common word (thank)
branche,common word (branch)
rencontre,common word (match)
suffixe,common word (suffix)
particulièrement,common word (especially)
figue,common word (fig)
peur,common word (afraid)
énorme,common word (huge)
sœur,common word (sister)
acier,common word (steel)
discuter,common word (discuss)
avant,common word (forward)
similaire,common word (similar)
guider,common word (guide)
expérience,common word (experience)
score,common word (score)
pomme,common word (apple)
acheté,common word (bought)
LED,common word (led)
pas,common word (pitch)
manteau,common word (coat)
masse,common word (mass)
carte,common word (card)
bande,common word (band)
corde,common word (rope)
glissement,common word (slip)
gagner,common word (win)
rêver,common word (dream)
soirée,common word (evening)
condition,common word (condition)
alimentation,common word (feed)
outil,common word (tool)
total,common word (total)
de base,common word (basic)
odeur,common word (smell)
vallée,common word (valley)
ni,common word (nor)
double,common word (double)
siège,common word (seat)
continuer,common word (continue)
bloc,common word (block)
graphique,common word (chart)
chapeau,common word (hat)
vendre,common word (sell)
succès,common word (success)
entreprise,common word (company)
soustraire,common word (subtract)
événement,common word (event)
particulier,common word (particular)
accord,common word (deal)
baignade,common word (swim)
terme,common word (term)
opposé,common word (opposite)
femme,common word (wife)
chaussure,common word (shoe)
épaule,common word (shoulder)
propagation,common word (spread)
organiser,common word (arrange)
camp,common word (camp)
inventer,common word (invent)
coton,common word (cotton)
né,common word (born)
déterminer,common word (determine)
litre,common word (quart)
neuf,common word (nine)
camion,common word (truck)
bruit,common word (noise)
niveau,common word (level)
chance,common word (chance)
recueillir,common word (gather)
boutique,common word (shop)
tronçon,common word (stretch)
jeter,common word (throw)
éclat,common word (shine)
propriété,common word (property)
colonne,common word (column)
molécule,common word (molecule)
sélectionner,common word (select)
mal,common word (wrong)
gris,common word (gray)
répétition,common word (repeat)
exiger,common word (require)
large,common word (broad)
préparer,common word (prepare)
sel,common word (salt)
nez,common word (nose)
pluriel,common word (plural)
colère,common word (anger)
revendication,common word (claim)
continent,common word (continent)
intégration,common word (integration)
traitement primaire,
