label,why
ветер,common word (wind)
вопрос,common word (question)
произойдет,common word (happen)
полная,common word (complete)
корабль,common word (ship)
площадь,common word (area)
половина,common word (half)
рок,common word (rock)
порядок,common word (order)
огонь,common word (fire)
юг,common word (south)
проблема,common word (problem)
кусок,common word (piece)
сказал,common word (told)
знал,common word (knew)
проходить,common word (pass)
с,common word (since)
топ,common word (top)
весь,common word (whole)
король,common word (king)
улица,common word (street)
дюйм,common word (inch)
умножить,common word (multiply)
ничего,common word (nothing)
курс,common word (course)
оставаться,common word (stay)
колеса,common word (wheel)
полный,common word (full)
сила,common word (force)
синий,common word (blue)
объект,common word (object)
решать,common word (decide)
поверхность,common word (surface)
глубоко,common word (deep)
луна,common word (moon)
остров,common word (island)
фут,common word (foot)
система,common word (system)
занято,common word (busy)
тест,common word (test)
запись,common word (record)
лодка,common word (boat)
общая,common word (common)
золото,common word (gold)
возможно,common word (possible)
самолет,common word (plane)
вместо него,common word (stead)
сухой,common word (dry)
Интересно,common word (wonder)
смех,common word (laugh)
тыс,common word (thousand)
назад,common word (ago)
побежал,common word (ran)
проверять,common word (check)
игра,common word (game)
форма,common word (shape)
приравнять,common word (equate)
горячий,common word (hot)
мисс,common word (miss)
принес,common word (brought)
тепло,common word (heat)
снег,common word (snow)
шина,common word (tire)
приносить,common word (bring)
да,common word (yes)
удаленная,common word (distant)
заполнить,common word (fill)
восток,common word (east)
краска,common word (paint)
язык,common word (language)
среди,common word (among)
блок,common word (unit)
мощность,common word (power)
город,common word (town)
отлично,common word (fine)
уверен,common word (certain)
летать,common word (fly)
падать,common word (fall)
привести,common word (lead)
крик,common word (cry)
темно,common word (dark)
машина,common word (machine)
примечание,common word (note)
ждать,common word (wait)
план,common word (plan)
фигура,common word (figure)
звезда,common word (star)
коробка,common word (box)
существительное,common word (noun)
поле,common word (field)
остальные,common word (rest)
верный,common word (correct)
состоянии,common word (able)
фунт,common word (pound)
сделано,common word (done)
красота,common word (beauty)
привод,common word (drive)
стоял,common word (stood)
содержать,common word (contain)
передние,common word (front)
учить,common word (teach)
неделя,common word (week)
окончательный,common word (final)
дал,common word (gave)
зеленый,common word (green)
ой,common word (oh)
быстро,common word (quick)
развивать,common word (develop)
океан,common word (ocean)
теплый,common word (warm)
бесплатно,common word (free)
минут,common word (minute)
сильный,common word (strong)
специальный,common word (special)
ум,common word (mind)
за,common word (behind)
ясно,common word (clear)
хвост,common word (tail)
производить,common word (produce)
факт,common word (fact)
пространство,common word (space)
слышал,common word (heard)
лучше,common word (best)
час,common word (hour)
лучше,common word (better)
правда,common word (TRUE)
во,common word (during)
сто,common word (hundred)
пять,common word (five)
запомнить,common word (remember)
шаг,common word (step)
рано,common word (early)
удерживайте,common word (hold)
запад,common word (west)
земля,common word (ground)
интерес,common word (interest)
достичь,common word (reach)
быстро,common word (fast)
глагол,common word (verb)
петь,common word (sing)
слушать,common word (listen)
шесть,common word (six)
стол,common word (table)
поездки,common word (travel)
меньше,common word (less)
утро,common word (morning)
десять,common word (ten)
простой,common word (simple)
несколько,common word (several)
гласный,common word (vowel)
к,common word (toward)
война,common word (war)
заложить,common word (lay)
против,common word (against)
шаблон,common word (pattern)
медленно,common word (slow)
центр,common word (center)
любовь,common word (love)
человек,common word (person)
деньги,common word (money)
служить,common word (serve)
появляются,common word (appear)
дорога,common word (road)
карта,common word (map)
дождь,common word (rain)
правило,common word (rule)
управлять,common word (govern)
тянуть,common word (pull)
холодный,common word (cold)
уведомление,common word (notice)
голос,common word (voice)
энергия,common word (energy)
охота,common word (hunt)
вероятный,common word (probable)
кровать,common word (bed)
брат,common word (brother)
яйцо,common word (egg)
поездка,common word (ride)
клеток,common word (cell)
верить,common word (believe)
возможно,common word (perhaps)
выбрать,common word (pick)
внезапный,common word (sudden)
считать,common word (count)
Квадратный,common word (square)
причина,common word (reason)
длина,common word (length)
представлять,common word (represent)
искусство,common word (art)
Заголовок,common word (subject)
область,common word (region)
размер,common word (size)
меняться,common word (vary)
урегулировать,common word (settle)
говорить,common word (speak)
вес,common word (weight)
общий,common word (general)
лед,common word (ice)
дело,common word (matter)
круг,common word (circle)
пара,common word (pair)
включают,common word (include)
разделяй,common word (divide)
слог,common word (syllable)
чувствовал,common word (felt)
великий,common word (grand)
мяч,common word (ball)
еще,common word (yet)
волна,common word (wave)
падение,common word (drop)
сердце,common word (heart)
утра,common word (am)
присутствует,common word (present)
тяжелый,common word (heavy)
танец,common word (dance)
двигатель,common word (engine)
положение,common word (position)
рука,common word (arm)
широкий,common word (wide)
парус,common word (sail)
материал,common word (material)
доля,common word (fraction)
лес,common word (forest)
сидеть,common word (sit)
гонка,common word (race)
окно,common word (window)
магазин,common word (store)
лето,common word (summer)
поезд,common word (train)
сон,common word (sleep)
доказывать,common word (prove)
одинокий,common word (lone)
нога,common word (leg)
упражнение,common word (exercise)
стена,common word (wall)
улов,common word (catch)
крепление,common word (mount)
хотите,common word (wish)
небо,common word (sky)
доска,common word (board)
радость,common word (joy)
зима,common word (winter)
Сб,common word (sat)
написанный,common word (written)
дикий,common word (wild)
инструмент,common word (instrument)
хранится,common word (kept)
стекло,common word (glass)
трава,common word (grass)
корова,common word (cow)
работа,common word (job)
край,common word (edge)
знак,common word (sign)
визит,common word (visit)
мимо,common word (past)
мягкая,common word (soft)
весело,common word (fun)
яркий,common word (bright)
газа,common word (gas)
погода,common word (weather)
месяц,common word (month)
миллион,common word (million)
нести,common word (bear)
отделка,common word (finish)
счастливы,common word (happy)
надеюсь,common word (hope)
цветок,common word (flower)
одевать,common word (clothe)
странный,common word (strange)
ушел,common word (gone)
торговля,common word (trade)
мелодия,common word (melody)
поездка,common word (trip)
офис,common word (office)
получать,common word (receive)
строка,common word (row)
рот,common word (mouth)
точный,common word (exact)
символ,common word (symbol)
умереть,common word (die)
мере,common word (least)
беда,common word (trouble)
крик,common word (shout)
кроме,common word (except)
писал,common word (wrote)
семян,common word (seed)
тон,common word (tone)
присоединиться,common word (join)
предложить,common word (suggest)
чистый,common word (clean)
перерыв,common word (break)
леди,common word (lady)
двор,common word (yard)
подниматься,common word (rise)
плохо,common word (bad)
удар,common word (blow)
масло,common word (oil)
кровь,common word (blood)
коснуться,common word (touch)
выросла,common word (grew)
цент,common word (cent)
смешивать,common word (mix)
команда,common word (team)
провод,common word (wire)
Стоимость,common word (cost)
потерянный,common word (lost)
коричневый,common word (brown)
носить,common word (wear)
сад,common word (garden)
равный,common word (equal)
отправлено,common word (sent)
выбирать,common word (choose)
упал,common word (fell)
соответствовать,common word (fit)
течь,common word (flow)
ярмарка,common word (fair)
банк,common word (bank)
собирать,common word (collect)
сохранить,common word (save)
контроль,common word (control)
десятичной,common word (decimal)
ухо,common word (ear)
еще,common word (else)
вполне,common word (quite)
сломал,common word (broke)
дело,common word (case)
средний,common word (middle)
убивать,common word (kill)
сын,common word (son)
озеро,common word (lake)
момент,common word (moment)
шкала,common word (scale)
громко,common word (loud)
весна,common word (spring)
наблюдать,common word (observe)
ребенок,common word (child)
прямо,common word (straight)
согласный,common word (consonant)
нация,common word (nation)
словарь,common word (dictionary)
молоко,common word (milk)
скорость,common word (speed)
метод,common word (method)
орган,common word (organ)
платить,common word (pay)
возраст,common word (age)
раздел,common word (section)
платье,common word (dress)
облако,common word (cloud)
сюрприз,common word (surprise)
тихо,common word (quiet)
камень,common word (stone)
крошечный,common word (tiny)
подъем,common word (climb)
круто,common word (cool)
дизайн,common word (design)
бедный,common word (poor)
много,common word (lot)
эксперимент,common word (experiment)
снизу,common word (bottom)
ключ,common word (key)
железо,common word (iron)
один,common word (single)
палка,common word (stick)
плоским,common word (flat)
двадцать,common word (twenty)
кожа,common word (skin)
улыбка,common word (smile)
складка,common word (crease)
отверстие,common word (hole)
прыжок,common word (jump)
ребенок,common word (baby)
восемь,common word (eight)
деревня,common word (village)
Знакомства,common word (meet)
корень,common word (root)
купить,common word (buy)
поднимать,common word (raise)
решить,common word (solve)
металла,common word (metal)
ли,common word (whether)
толчок,common word (push)
семь,common word (seven)
пункт,common word (paragraph)
третий,common word (third)
должен,common word (shall)
ручные,common word (held)
волосы,common word (hair)
описывать,common word (describe)
повар,common word (cook)
этаж,common word (floor)
или,common word (either)
результат,common word (result)
сжечь,common word (burn)
холм,common word (hill)
сейф,common word (safe)
кошка,common word (cat)
век,common word (century)
рассматривать,common word (consider)
Тип,common word (type)
закон,common word (law)
немного,common word (bit)
побережье,common word (coast)
копия,common word (copy)
фраза,common word (phrase)
тихий,common word (silent)
высокий,common word (tall)
песок,common word (sand)
почвы,common word (soil)
рулон,common word (roll)
температура,common word (temperature)
палец,common word (finger)
промышленность,common word (industry)
значение,common word (value)
борьба,common word (fight)
ложь,common word (lie)
бить,common word (beat)
возбуждать,common word (excite)
естественный,common word (natural)
вид,common word (view)
смысл,common word (sense)
капитал,common word (capital)
не будет,common word (won’t)
стул,common word (chair)
опасность,common word (danger)
фрукты,common word (fruit)
богатые,common word (rich)
толщиной,common word (thick)
солдат,common word (soldier)
процесс,common word (process)
работать,common word (operate)
практика,common word (practice)
отдельный,common word (separate)
трудный,common word (difficult)
врач,common word (doctor)
пожалуйста,common word (please)
защищать,common word (protect)
полдень,common word (noon)
урожай,common word (crop)
современный,common word (modern)
элемент,common word (element)
хит,common word (hit)
студент,common word (student)
угол,common word (corner)
партия,common word (party)
поставка,common word (supply)
чьи,common word (whose)
разместить,common word (locate)
кольцо,common word (ring)
характер,common word (character)
насекомое,common word (insect)
пойманный,common word (caught)
период,common word (period)
указывать,common word (indicate)
радио,common word (radio)
говорил,common word (spoke)
атом,common word (atom)
человек,common word (human)
история,common word (history)
эффект,common word (effect)
электрический,common word (electric)
ожидать,common word (expect)
кость,common word (bone)
железнодорожные,common word (rail)
вообразить,common word (imagine)
обеспечить,common word (provide)
соглашаться,common word (agree)
таким образом,common word (thus)
нежный,common word (gentle)
женщина,common word (woman)
капитан,common word (captain)
догадываться,common word (guess)
необходимо,common word (necessary)
резкое,common word (sharp)
крыло,common word (wing)
создавать,common word (create)
сосед,common word (neighbor)
стирка,common word (wash)
летучая мышь,common word (bat)
а,common word (rather)
толпа,common word (crowd)
кукуруза,common word (corn)
сравнить,common word (compare)
стихотворение,common word (poem)
строка,common word (string)
колокол,common word (bell)
зависеть,common word (depend)
мясо,common word (meat)
руб,common word (rub)
трубка,common word (tube)
известный,common word (famous)
доллар,common word (dollar)
поток,common word (stream)
страх,common word (fear)
зрение,common word (sight)
тонкий,common word (thin)
треугольник,common word (triangle)
планета,common word (planet)
спешить,common word (hurry)
главный,common word (chief)
колония,common word (colony)
часы,common word (clock)
шахта,common word (mine)
связать,common word (tie)
введите,common word (enter)
основным,common word (major)
свежий,common word (fresh)
поиск,common word (search)
отправить,common word (send)
желтый,common word (yellow)
пистолет,common word (gun)
позволять,common word (allow)
печать,common word (print)
мертвый,common word (dead)
место,common word (spot)
пустыня,common word (desert)
костюм,common word (suit)
ток,common word (current)
лифт,common word (lift)
выросла,common word (rose)
приходим,common word (arrive)
мастер,common word (master)
трек,common word (track)
родитель,common word (parent)
берег,common word (shore)
деление,common word (division)
лист,common word (sheet)
вещество,common word (substance)
пользу,common word (favor)
подключать,common word (connect)
пост,common word (post)
провести,common word (spend)
аккорд,common word (chord)
жира,common word (fat)
довольный,common word (glad)
оригинальный,common word (original)
доля,common word (share)
станция,common word (station)
папа,common word (dad)
хлеб,common word (bread)
взимать,common word (charge)
собственно,common word (proper)
бар,common word (bar)
предложение,common word (offer)
сегмент,common word (segment)
раб,common word (slave)
утка,common word (duck)
растворимый,common word (instant)
рынок,common word (market)
степень,common word (degree)
заселять,common word (populate)
цыпленок,common word (chick)
дорогой,common word (dear)
враг,common word (enemy)
ответ,common word (reply)
напиток,common word (drink)
происходить,common word (occur)
поддержка,common word (support)
речь,common word (speech)
природа,common word (nature)
диапазон,common word (range)
пара,common word (steam)
движение,common word (motion)
путь,common word (path)
жидкости,common word (liquid)
войти,common word (log)
означало,common word (meant)
фактор,common word (quotient)
зубы,common word (teeth)
оболочка,common word (shell)
шея,common word (neck)
кислорода,common word (oxygen)
сахар,common word (sugar)
смерть,common word (death)
довольно,common word (pretty)
умение,common word (skill)
женщины,common word (women)
сезон,common word (season)
решение,common word (solution)
магнит,common word (magnet)
серебро,common word (silver)
спасибо,common word (thank)
филиал,common word (branch)
матч,common word (match)
суффикс,common word (suffix)
особенно,common word (especially)
рис,common word (fig)
боится,common word (afraid)
огромный,common word (huge)
сестра,common word (sister)
сталь,common word (steel)
обсуждать,common word (discuss)
вперед,common word (forward)
похожи,common word (similar)
направлять,common word (guide)
опыт,common word (experience)
счет,common word (score)
яблоко,common word (apple)
купленный,common word (bought)
привело,common word (led)
шаг,common word (pitch)
пальто,common word (coat)
масса,common word (mass)
карта,common word (card)
полоса,common word (band)
веревка,common word (rope)
скольжение,common word (slip)
выиграть,common word (win)
мечтать,common word (dream)
вечер,common word (evening)
состояние,common word (condition)
корма,common word (feed)
инструмент,common word (tool)
общий,common word (total)
основной,common word (basic)
запах,common word (smell)
долина,common word (valley)
ни,common word (nor)
двойной,common word (double)
сиденья,common word (seat)
продолжать,common word (continue)
блок,common word (block)
диаграмма,common word (chart)
шляпа,common word (hat)
продать,common word (sell)
успех,common word (success)
компания,common word (company)
вычитать,common word (subtract)
мероприятие,common word (event)
частности,common word (particular)
сделка,common word (deal)
плавать,common word (swim)
термин,common word (term)
напротив,common word (opposite)
жена,common word (wife)
обуви,common word (shoe)
плечо,common word (shoulder)
распространение,common word (spread)
организовать,common word (arrange)
лагерь,common word (camp)
изобретать,common word (invent)
хлопок,common word (cotton)
родившийся,common word (born)
определять,common word (determine)
кварта,common word (quart)
девять,common word (nine)
грузовик,common word (truck)
шум,common word (noise)
уровень,common word (level)
шанс,common word (chance)
собирать,common word (gather)
магазин,common word (shop)
протяжение,common word (stretch)
бросать,common word (throw)
блеск,common word (shine)
имущество,common word (property)
колонка,common word (column)
молекула,common word (molecule)
выбирать,common word (select)
неправильно,common word (wrong)
серый,common word (gray)
повторение,common word (repeat)
требовать,common word (require)
широкий,common word (broad)
подготовить,common word (prepare)
соль,common word (salt)
нос,common word (nose)
множественное,common word (plural)
гнев,common word (anger)
претензии,common word (claim)
континент,common word (continent)
Аббас,common name (Abbas)
Абдель,common name (Abdel)
Абдо,common name (Abdo)
Абдулайе,common name (Abdoulaye)
Абдул,common name (Abdul)
Абдулла,common name (Abdullah)
Абдуллахи,common name (Abdullahi)
Авель,common name (Abel)
Авраам,common name (Abraham)
Абубакар,common name (Abubakar)
Адам,common name (Adam)
Адама,common name (Adama)
Адаму,common name (Adamu)
Адель,common name (Adel)
Адриан,common name (Adrian)
Адриана,common name (Adriana)
Агнес,common name (Agnes)
Агус,common name (Agus)
Ахмад,common name (Ahmad)
Ахмед,common name (Ahmed)
Ахмет,common name (Ahmet)
К,common name (Ai)
Айча,common name (Aicha)
Аида,common name (Aida)
Аиша,common name (Aisha)
Аджай,common name (Ajay)
Алаа,common name (Alaa)
Алена,common name (Alain)
Алан,common name (Alan)
Альберт,common name (Albert)
Альберто,common name (Alberto)
Алехандро,common name (Alejandro)
Александр,common name (Aleksandr)
Александра,common name (Aleksandra)
Алексей,common name (Aleksey)
Алекс,common name (Alex)
Александр,common name (Alexander)
Александра,common name (Alexandra)
Александр,common name (Alexandre)
Алексей,common name (Alexey)
Альфред,common name (Alfred)
Альфредо,common name (Alfredo)
Али,common name (Ali)
Алиса,common name (Alice)
Алисия,common name (Alicia)
Алина,common name (Alina)
Алию,common name (Aliyu)
Альма,common name (Alma)
Амаду,common name (Amadou)
Амаль,common name (Amal)
Аманда,common name (Amanda)
Амар,common name (Amar)
Амин,common name (Amin)
Амина,common name (Amina)
Амината,common name (Aminata)
Амир,common name (Amir)
Амит,common name (Amit)
Эми,common name (Amy)
An,common name (An)
Ана,common name (Ana)
Анастасия,common name (Anastasia)
Анастасия,common name (Anastasiya)
Андре,common name (Andre)
Эндрю,common name (Andrea)
Андреас,common name (Andreas)
Я бы пошел,common name (Andrei)
Андрес,common name (Andres)
Эндрю,common name (Andrew)
Андрей,common name (Andrey)
Ангел,common name (Angel)
Анжела,common name (Angela)
Анжелика,common name (Angelica)
Анджелина,common name (Angelina)
Ангел,common name (Angelo)
Ань,common name (Anh)
Анил,common name (Anil)
Анита,common name (Anita)
Анна,common name (Ann)
Анна,common name (Anna)
Энн,common name (Anne)
Энни,common name (Annie)
Энтони,common name (Anthony)
Антон,common name (Anton)
Антония,common name (Antonia)
Антонио,common name (Antonio)
Антониу,common name (António)
Анвар,common name (Anwar)
Ариф,common name (Arif)
Арджун,common name (Arjun)
Армандо,common name (Armando)
Артур,common name (Arthur)
Артур,common name (Artur)
Артуро,common name (Arturo)
Артём,common name (Artyom)
Арун,common name (Arun)
Аша,common name (Asha)
Ашок,common name (Ashok)
Ашраф,common name (Ashraf)
Астма,common name (Asma)
Асмаа,common name (Asmaa)
Аунг,common name (Aung)
Ая,common name (Aya)
Аиша,common name (Ayesha)
Айше,common name (Ayşe)
Азиз,common name (Aziz)
Бабу,common name (Babu)
Барбара,common name (Barbara)
Основание,common name (Basanti)
Башир,common name (Bashir)
Беатрис,common name (Beatrice)
Беатрис,common name (Beatriz)
Бекеле,common name (Bekele)
Бенджамин,common name (Benjamin)
Бернадетт,common name (Bernadette)
Бернар,common name (Bernard)
Бетти,common name (Betty)
Бхарат,common name (Bharat)
Биби,common name (Bibi)
Bin,common name (Bin)
Бланка,common name (Blanca)
Благословение,common name (Blessing)
Бренда,common name (Brenda)
Брайан,common name (Brian)
Бриджит,common name (Brigitte)
Бруно,common name (Bruno)
Ca,common name (Ca)
Carla,common name (Carla)
Карлос,common name (Carlos)
Кармен,common name (Carmen)
Кэрол,common name (Carol)
Каролина,common name (Carolina)
Кэролайн,common name (Caroline)
Екатерина,common name (Catherine)
Сесилия,common name (Cecilia)
Цезарь,common name (Cesar)
Чандра,common name (Chandra)
Шанталь,common name (Chantal)
Чао,common name (Chao)
Чарльз,common name (Charles)
Шарлотта,common name (Charlotte)
Чен,common name (Chen)
Ченг,common name (Cheng)
Шерил,common name (Cheryl)
Кто,common name (Chi)
Крис,common name (Chris)
Кристиан,common name (Christian)
Кристина,common name (Christina)
Кристин,common name (Christine)
Кристоф,common name (Christophe)
Кристофер,common name (Christopher)
Чун,common name (Chun)
Чуньхуа,common name (Chunhua)
Чунян,common name (Chunyan)
Клара,common name (Clara)
Клод,common name (Claude)
Клаудиа,common name (Claudia)
Клаудио,common name (Claudio)
Конг,common name (Cong)
Кристиан,common name (Cristian)
Кристина,common name (Cristina)
Синтия,common name (Cynthia)
Дэн,common name (Dan)
Дэниел,common name (Daniel)
Даниэла,common name (Daniela)
Дарья,common name (Darya)
Дэйвид,common name (David)
Дебора,common name (Deborah)
Дипак,common name (Deepak)
Денис,common name (Denis)
Дениз,common name (Denise)
Деннис,common name (Dennis)
Из,common name (Di)
Диана,common name (Diana)
Дайан,common name (Diane)
Диего,common name (Diego)
Дилип,common name (Dilip)
Дина,common name (Dina)
Динеш,common name (Dinesh)
Дипак,common name (Dipak)
Дмитрий,common name (Dmitriy)
Дмитрий,common name (Dmitry)
Долорес,common name (Dolores)
Доминик,common name (Dominique)
Дональд,common name (Donald)
Дунмэй,common name (Dongmei)
Женщина,common name (Donna)
Дора,common name (Dora)
Дорис,common name (Doris)
Дороти,common name (Dorothy)
Дуглас,common name (Douglas)
Навоз,common name (Dung)
Дурга,common name (Durga)
Эдгар,common name (Edgar)
Эдит,common name (Edith)
Эдуардо,common name (Eduardo)
Эдвард,common name (Edward)
Эдвин,common name (Edwin)
Эй,common name (Ei)
Екатерина,common name (Ekaterina)
Элейн,common name (Elaine)
Елена,common name (Elena)
Элиас,common name (Elias)
Элизабет,common name (Elisabeth)
Элизабет,common name (Elizabeth)
Эллен,common name (Ellen)
Эльза,common name (Elsa)
Эльвира,common name (Elvira)
Эман,common name (Eman)
Эмили,common name (Emily)
Эмине,common name (Emine)
Эмма,common name (Emma)
Эммануэль,common name (Emmanuel)
Энрике,common name (Enrique)
Эрик,common name (Eric)
Эрика,common name (Erika)
Эрнест,common name (Ernest)
Эрнесто,common name (Ernesto)
Эстер,common name (Ester)
Эстер,common name (Esther)
Юнис,common name (Eunice)
Ева,common name (Eva)
Эвелин,common name (Evelyn)
Евгений,common name (Evgeniy)
Фабио,common name (Fabio)
Фейсал,common name (Faisal)
Вера,common name (Faith)
Фарида,common name (Farida)
Фарзана,common name (Farzana)
Fatemeh,common name (Fatemeh)
Фатима,common name (Fatima)
Фатьма,common name (Fatma)
Фатумата,common name (Fatoumata)
Фелипе,common name (Felipe)
Феликс,common name (Felix)
Фернандо,common name (Fernando)
Флоренция,common name (Florence)
Фрэнсис,common name (Francesco)
Фрэнсис,common name (Francis)
Франциска,common name (Francisca)
Франциско,common name (Francisco)
Франсуа,common name (Francois)
Откровенный,common name (Frank)
Фред,common name (Fred)
Габриэль,common name (Gabriel)
Габриэла,common name (Gabriela)
Галина,common name (Galina)
Ганеш,common name (Ganesh)
Банда,common name (Gang)
Gangue,common name (Ganga)
Гэри,common name (Gary)
Джордж,common name (George)
Джеральд,common name (Gerald)
Герардо,common name (Gerardo)
Герхард,common name (Gerhard)
Гулам,common name (Ghulam)
Гилберт,common name (Gilbert)
Жилберто,common name (Gilberto)
Джон,common name (Giovanni)
Поездка,common name (Gita)
Джозеф,common name (Giuseppe)
Глэдис,common name (Gladys)
Слава,common name (Gloria)
Гопал,common name (Gopal)
Благодать,common name (Grace)
Грегори,common name (Gregory)
