label,why
probable,common word (probable)
cama,common word (bed)
hermano,common word (brother)
huevo,common word (egg)
paseo,common word (ride)
celular,common word (cell)
creer,common word (believe)
quizás,common word (perhaps)
recoger,common word (pick)
repentina,common word (sudden)
contar,common word (count)
plaza,common word (square)
razón,common word (reason)
longitud,common word (length)
representar,common word (represent)
arte,common word (art)
sujeto,common word (subject)
región,common word (region)
tamaño,common word (size)
variar,common word (vary)
resolver,common word (settle)
hablar,common word (speak)
peso,common word (weight)
general,common word (general)
hielo,common word (ice)
materia,common word (matter)
círculo,common word (circle)
par,common word (pair)
incluir,common word (include)
brecha,common word (divide)
sílaba,common word (syllable)
sentido,common word (felt)
gran,common word (grand)
bola,common word (ball)
aún,common word (yet)
ola,common word (wave)
caer,common word (drop)
corazón,common word (heart)
am,common word (am)
presente,common word (present)
pesada,common word (heavy)
danza,common word (dance)
motor,common word (engine)
posición,common word (position)
brazo,common word (arm)
amplio,common word (wide)
vela,common word (sail)
materiales,common word (material)
fracción,common word (fraction)
bosque,common word (forest)
sentarse,common word (sit)
carrera,common word (race)
ventana,common word (window)
tienda,common word (store)
verano,common word (summer)
tren,common word (train)
sueño,common word (sleep)
demostrar,common word (prove)
solitario,common word (lone)
pierna,common word (leg)
ejercicio,common word (exercise)
pared,common word (wall)
capturas,common word (catch)
monte,common word (mount)
desear,common word (wish)
cielo,common word (sky)
bordo,common word (board)
alegría,common word (joy)
invierno,common word (winter)
satélite,common word (sat)
escrito,common word (written)
salvaje,common word (wild)
instrumento,common word (instrument)
guardado,common word (kept)
vidrio,common word (glass)
hierba,common word (grass)
vaca,common word (cow)
trabajo,common word (job)
borde,common word (edge)
signo,common word (sign)
visita,common word (visit)
pasado,common word (past)
suave,common word (soft)
diversión,common word (fun)
brillante,common word (bright)
gas,common word (gas)
tiempo,common word (weather)
mes,common word (month)
millones,common word (million)
soportar,common word (bear)
acabado,common word (finish)
feliz,common word (happy)
esperanza,common word (hope)
flor,common word (flower)
vestir,common word (clothe)
extraño,common word (strange)
se ha ido,common word (gone)
comercio,common word (trade)
melodía,common word (melody)
viaje,common word (trip)
oficina,common word (office)
recibir,common word (receive)
fila,common word (row)
boca,common word (mouth)
exacta,common word (exact)
símbolo,common word (symbol)
morir,common word (die)
menos,common word (least)
problema,common word (trouble)
grito,common word (shout)
excepto,common word (except)
escribió,common word (wrote)
semilla,common word (seed)
tono,common word (tone)
unirse,common word (join)
sugerir,common word (suggest)
limpia,common word (clean)
rotura,common word (break)
dama,common word (lady)
patio,common word (yard)
aumentando,common word (rise)
mal,common word (bad)
golpe,common word (blow)
aceite,common word (oil)
sangre,common word (blood)
tocar,common word (touch)
creció,common word (grew)
ciento,common word (cent)
mezclar,common word (mix)
equipo,common word (team)
alambre,common word (wire)
costo,common word (cost)
perdido,common word (lost)
marrón,common word (brown)
desgaste,common word (wear)
jardín,common word (garden)
igual,common word (equal)
enviado,common word (sent)
elegir,common word (choose)
cayó,common word (fell)
encajar,common word (fit)
fluir,common word (flow)
justo,common word (fair)
banco,common word (bank)
recoger,common word (collect)
guardar,common word (save)
el control,common word (control)
decimal,common word (decimal)
oído,common word (ear)
demás,common word (else)
bastante,common word (quite)
rompió,common word (broke)
caso,common word (case)
medio,common word (middle)
matar,common word (kill)
hijo,common word (son)
lago,common word (lake)
momento,common word (moment)
escala,common word (scale)
fuerte,common word (loud)
primavera,common word (spring)
observar,common word (observe)
niño,common word (child)
recta,common word (straight)
consonante,common word (consonant)
nación,common word (nation)
diccionario,common word (dictionary)
leche,common word (milk)
velocidad,common word (speed)
método,common word (method)
órgano,common word (organ)
pagar,common word (pay)
edad,common word (age)
sección,common word (section)
vestido,common word (dress)
nube,common word (cloud)
sorpresa,common word (surprise)
tranquila,common word (quiet)
piedra,common word (stone)
pequeño,common word (tiny)
ascenso,common word (climb)
fresco,common word (cool)
diseño,common word (design)
pobre,common word (poor)
mucho,common word (lot)
experimento,common word (experiment)
inferior,common word (bottom)
clave,common word (key)
hierro,common word (iron)
sola,common word (single)
palillo,common word (stick)
plana,common word (flat)
veinte,common word (twenty)
piel,common word (skin)
sonrisa,common word (smile)
pliegue,common word (crease)
agujero,common word (hole)
saltar,common word (jump)
bebé,common word (baby)
ocho,common word (eight)
pueblo,common word (village)
se reúnen,common word (meet)
raíz,common word (root)
comprar,common word (buy)
aumentar,common word (raise)
resolver,common word (solve)
de metal,common word (metal)
si,common word (whether)
empujar,common word (push)
siete,common word (seven)
párrafo,common word (paragraph)
tercero,common word (third)
deberá,common word (shall)
en espera,common word (held)
pelo,common word (hair)
describir,common word (describe)
cocinero,common word (cook)
piso,common word (floor)
ya sea,common word (either)
resultado,common word (result)
quemar,common word (burn)
colina,common word (hill)
seguro,common word (safe)
gato,common word (cat)
siglo,common word (century)
considerar,common word (consider)
tipo,common word (type)
ley,common word (law)
bit,common word (bit)
costa,common word (coast)
copia,common word (copy)
frase,common word (phrase)
silencio,common word (silent)
de altura,common word (tall)
arena,common word (sand)
suelo,common word (soil)
rollo,common word (roll)
temperatura,common word (temperature)
dedo,common word (finger)
industria,common word (industry)
valor,common word (value)
lucha,common word (fight)
mentira,common word (lie)
batir,common word (beat)
excitar,common word (excite)
naturales,common word (natural)
vista,common word (view)
sentido,common word (sense)
de capital,common word (capital)
no lo hará,common word (won’t)
silla,common word (chair)
peligro,common word (danger)
fruta,common word (fruit)
rica,common word (rich)
de espesor,common word (thick)
soldado,common word (soldier)
proceso,common word (process)
operar,common word (operate)
práctica,common word (practice)
separada,common word (separate)
difícil,common word (difficult)
médico,common word (doctor)
por favor,common word (please)
proteger,common word (protect)
mediodía,common word (noon)
de cultivos,common word (crop)
moderno,common word (modern)
elemento,common word (element)
golpear,common word (hit)
estudiante,common word (student)
esquina,common word (corner)
partido,common word (party)
suministro,common word (supply)
cuya,common word (whose)
localizar,common word (locate)
anillo,common word (ring)
carácter,common word (character)
insecto,common word (insect)
capturado,common word (caught)
período,common word (period)
indicar,common word (indicate)
Radio,common word (radio)
habló,common word (spoke)
átomo,common word (atom)
humana,common word (human)
historia,common word (history)
efecto,common word (effect)
eléctrica,common word (electric)
esperar,common word (expect)
hueso,common word (bone)
ferrocarril,common word (rail)
imaginar,common word (imagine)
proporcionar,common word (provide)
acuerdo,common word (agree)
por tanto,common word (thus)
suave,common word (gentle)
mujer,common word (woman)
capitán,common word (captain)
adivinar,common word (guess)
necesario,common word (necessary)
agudo,common word (sharp)
ala,common word (wing)
crear,common word (create)
vecino,common word (neighbor)
lavado,common word (wash)
bate,common word (bat)
más bien,common word (rather)
multitud,common word (crowd)
maíz,common word (corn)
comparar,common word (compare)
poema,common word (poem)
cadena,common word (string)
campana,common word (bell)
dependerá,common word (depend)
carne,common word (meat)
frotar,common word (rub)
tubo,common word (tube)
famoso,common word (famous)
dólar,common word (dollar)
corriente,common word (stream)
miedo,common word (fear)
vista,common word (sight)
delgado,common word (thin)
triángulo,common word (triangle)
planeta,common word (planet)
prisa,common word (hurry)
jefe,common word (chief)
colonia,common word (colony)
reloj,common word (clock)
mina,common word (mine)
empate,common word (tie)
entrar,common word (enter)
importante,common word (major)
fresco,common word (fresh)
búsqueda,common word (search)
enviar,common word (send)
amarillo,common word (yellow)
pistola,common word (gun)
permitir,common word (allow)
print,common word (print)
muerto,common word (dead)
lugar,common word (spot)
desierto,common word (desert)
traje,common word (suit)
actual,common word (current)
ascensor,common word (lift)
rosa,common word (rose)
llegar,common word (arrive)
master,common word (master)
pista,common word (track)
padre,common word (parent)
orilla,common word (shore)
división,common word (division)
hoja,common word (sheet)
sustancia,common word (substance)
favorecer,common word (favor)
conectar,common word (connect)
mensaje,common word (post)
pasar,common word (spend)
acorde,common word (chord)
grasa,common word (fat)
contento,common word (glad)
originales,common word (original)
cuota,common word (share)
estación,common word (station)
papá,common word (dad)
pan,common word (bread)
cobrar,common word (charge)
adecuada,common word (proper)
barra,common word (bar)
oferta,common word (offer)
segmento,common word (segment)
esclavo,common word (slave)
pato,common word (duck)
instantánea,common word (instant)
mercado,common word (market)
grado,common word (degree)
poblar,common word (populate)
polluelo,common word (chick)
querido,common word (dear)
enemigo,common word (enemy)
responder,common word (reply)
bebida,common word (drink)
producirse,common word (occur)
apoyo,common word (support)
discurso,common word (speech)
naturaleza,common word (nature)
alcance,common word (range)
vapor,common word (steam)
movimiento,common word (motion)
camino,common word (path)
líquido,common word (liquid)
log,common word (log)
significado,common word (meant)
cociente,common word (quotient)
dientes,common word (teeth)
concha,common word (shell)
cuello,common word (neck)
oxígeno,common word (oxygen)
azúcar,common word (sugar)
muerte,common word (death)
bastante,common word (pretty)
habilidad,common word (skill)
mujeres,common word (women)
temporada,common word (season)
solución,common word (solution)
imán,common word (magnet)
plata,common word (silver)
gracias,common word (thank)
rama,common word (branch)
partido,common word (match)
sufijo,common word (suffix)
especialmente,common word (especially)
higo,common word (fig)
miedo,common word (afraid)
enorme,common word (huge)
hermana,common word (sister)
acero,common word (steel)
discutir,common word (discuss)
adelante,common word (forward)
similar,common word (similar)
guiar,common word (guide)
experiencia,common word (experience)
puntuación,common word (score)
manzana,common word (apple)
comprado,common word (bought)
llevado,common word (led)
pitch,common word (pitch)
abrigo,common word (coat)
masa,common word (mass)
tarjeta,common word (card)
banda,common word (band)
cuerda,common word (rope)
deslizamiento,common word (slip)
ganar,common word (win)
soñar,common word (dream)
noche,common word (evening)
condición,common word (condition)
pienso,common word (feed)
herramienta,common word (tool)
totales,common word (total)
básico,common word (basic)
olor,common word (smell)
valle,common word (valley)
ni,common word (nor)
doble,common word (double)
asiento,common word (seat)
continuar,common word (continue)
bloque,common word (block)
tabla,common word (chart)
sombrero,common word (hat)
vender,common word (sell)
éxito,common word (success)
empresa,common word (company)
restar,common word (subtract)
evento,common word (event)
particular,common word (particular)
acuerdo,common word (deal)
nadar,common word (swim)
plazo,common word (term)
opuesta,common word (opposite)
esposa,common word (wife)
zapato,common word (shoe)
hombro,common word (shoulder)
propagación,common word (spread)
organizar,common word (arrange)
campamento,common word (camp)
inventar,common word (invent)
algodón,common word (cotton)
nacido,common word (born)
determinar,common word (determine)
cuarto de galón,common word (quart)
nueve,common word (nine)
camión,common word (truck)
ruido,common word (noise)
nivel,common word (level)
oportunidad,common word (chance)
reunir,common word (gather)
tienda,common word (shop)
tramo,common word (stretch)
lanzar,common word (throw)
brillo,common word (shine)
propiedad,common word (property)
columna,common word (column)
molécula,common word (molecule)
seleccionar,common word (select)
mal,common word (wrong)
gris,common word (gray)
repita,common word (repeat)
exigir,common word (require)
amplio,common word (broad)
preparar,common word (prepare)
sal,common word (salt)
nariz,common word (nose)
plurales,common word (plural)
cólera,common word (anger)
reclamación,common word (claim)
continente,common word (continent)
modelo,common word (model)
un ídolo,
un máquina,
el mejor,
bolsa,
quemados,
las naciones,
el quemado,
delegado,
matador,
mata gente,
quemado,
matasapo,
brilé,
Partido Republicano,in reference to Fianna Fail
tratamiento,
Podemos,
