label,translation
IIHF World U18 Championship,IIHF U18 Weltmeisterschaft
Communist Party of Cuba,Kommunistisch Partei Kuba
swimming at the Summer Paralympics,Schwimmen bei der Sommer-Paralympics
Club 12 de Octubre,Club 12 de Octubre
Club 12 de Octubre de Itaugua,Club 12 de Octubre de Itaugua
Romanian ethnic minorities parties,Rumänisch ethnisch Minderheitenparteien
Chalco de Díaz Covarrubias,Chalco de Díaz Covarrubias
Chalco de Diaz Covarrubias,Chalco de Diaz Covarrubias
2012 NCAA Division I FBS football season,2012 NCAA Division I FBS Fußballsaison
Institute for Creation Research,Institut für Schöpfungsforschung
Pudendal nerve entrapment,Pudendal-Nerveneinklemmung
Alcock syndrome,Alcock-Syndrom
Pudendal nerve entrapment syndrome,Pudendal-Nerveneinklemmungssyndrom
pudendal nerve neuralgia,Neuralgie der Pudendalusnervs
Pudendal algia,Pudendalalgie
UBERON:0011390 neuralgia,UBERON:0011390 Neuralgie
Pudendal neuralgia by pudendal nerve entrapment,Pudendalneuralgie durch Pudendalnerveneinklemmung
Nokia 6120 classic,Nokia 6120 klassisch
Ministry of Construction of Heavy Industry,Ministerium für Bau der Schwerindustrie
Koenigsegg CC8S,Koenigsegg CC8S
Grand Ducal Family of Luxembourg,Großherzogliche Familie von Luxemburg
CMLL World Heavyweight Championship,CMLL Weltmeisterschaft im Schwergewicht
1994 NASCAR Winston Cup Series,1994 NASCAR Winston Cup Serie
table tennis at the 2012 Summer Olympics – men's team,Olympisch Sommerspiele 2012/Teilnehmer – Männermannschaft
table tennis at the 2012 Summer Olympics - men's team,Olympisch Sommerspiele 2012/Teilnehmer - Männermannschaft
Unsafe at Any Speed,Unsicher bei jed Geschwindigkeit
Unsafe at Any Speed: The Designed-In Dangers of the American Automobile,Unsicher bei jed Geschwindigkeit: Der konstruieren Gefahr der amerikanisch Automobils
FC Krystal Kherson,FC Krystal Cherson
capital punishment in Turkey,Todesstrafe in der Türkei
Up in the Air,In der Warenkorb
Up in the Air (Novel),In der Warenkorb Vergleich Merken
Mytilenean revolt,Mytileneische Revolte
Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry,Moral und Dogma der alt und akzeptieren schottisch Ritus der Freimaurerei
Morals and Dogma,Moral und Dogma
2008 NCAA Men's Division I Basketball Tournament,Basketball-Turnier der NCAA Männer-Division I 2008
Merkaz Refu'i Sha'arei Tzedek,Merkaz Refu Sha Tzedek
visually impaired judo,Sehbehinderter Judo
Philippine studies,Philippinische Studie
Filipino studies,Philippinische Studie
CT-133 Silver Star,CT-133 Silberstern
Canadair CT-133 Silver Star,Canadair CT-133 Silberstern
Canadair CL-30,Kanadair CL-30
Lockheed CT-133 Silver Star,Lockheed CT-133 Silver Star
2002–03 in English football,Fußball in England 2002/03
2002-03 in English football,Fußball in Englisch 2002-03
Belgian Provincial leagues,Belgisch Provinzligen
Dejvické divadlo,Dejvické divadlo
Amsterdam coronation riots,Amsterdam Krönungskrawalle
public economics,öffentlich Wirtschaft
economics of the public sector,wissenschaft der wissenschaft
five-a-side football,Fünferfußball
5 a side,5 einen Seite
football five,Fußball fünf
Storia: un romanzo,Storia: un romanzo
Santa Maria del Pi,Santa Maria del Pi
The Economic Consequences of the Peace,Der wirtschaftlich Folge der Frieden
Russian Women's Basketball Premier League,Russisch Frauen-Basketball-Premierliga
MG Metro 6R4,MG Metro 6R4
FITA Archery World Cup,FITA Bogenschießen Weltcup
Pluk van de Petteflet,Pluk van de Petteflet
Roman amphitheatre of Mérida,Römisches Amphitheater von Mérida
Amphitheatre of Merida,Amphitheater von Merida
Roman amphitheatre of Merida,Römisches Amphitheater von Merida
Mongol-Tatar yoke,Mongolisch-Tatar Joch
CEV Women's Champions League,CEV Champions League der Frau
Renault Scénic III,Renault Scénic III
Renault Scenic III,Renault Scenic III
vimeo livestream,vimeo livestream
1927 Crimean earthquakes,1927 Krim-Erdbeben
2008 United States Senate election in Illinois,Senatswahl in der Vereinigte Staat 2008 in Illinois
United States Senate election in Illinois  2008,Senatswahl in der Vereinigte Staat in Illinois 2008
Murcia's Cathedral,Kathedrale von Murcia
Spanish coup of July 1936,Spanischer Staatsstreich im Juli 1936
Golpe de Estado de julio de 1936,Golpe de julio de 1936
Toyota Celica GT-Four,Toyota Celica GT-Four
FIBA Asia Champions Cup,FIBA Asia Champions Cup
Democratic and Republican Left,Demokratisch und republikanische Linke
A Treatise of Human Nature,Eine Abhandlung der menschlich Natur
Liga Argentina de Voleibol – Serie A1,Liga Argentina de Voleibol – Serie A1
Liga A1 de Voley,Liga A1 de Voley
after competition,nach der Wettkampf
Men Are from Mars  Women Are from Venus,Mann sein vom Mars Frau sein von der Venus
Dodge SRT-4,Dodge SRT-4
CA Barracas Central,CA Barracas Central
Ukrainian Social Democratic Workers' party,Ukrainisch sozialdemokratische Arbeiterpartei
Ukrainska sotsiial-demokratychna robitnycha partiia,Ukrainska sotsiial-Żychna robitnycha partiia
League of Ireland First Division,Erster Liga der Irische Liga
FAI First Division,FAI Erster Liga
FAI LOI First Division,FAI LOI Erster Division
LOI First Division,LOI Erster Division
2005 CONCACAF Champions' Cup,CONCACAF Meisterpokal 2005
The Demon-Haunted World: Science as a Candle in the Dark,Der von Dämonen verfolgen Welt: Wissenschaft als Kerze im Dunkel
Babylonian astrology,Babylonisch Astrologie
Professor Dowell's Head,Professor Dowells Kopf
Bloodlines (Mead novel),Blutlinien (Mead Roman)
Troilus and Criseyde,Troilus und Criseyde
Message in a Bottle,Botschaft in der Flasche
Bola de Prata,Bola de Prata
De jure belli ac pacis,De jure belli ac pacis
On the Law of War and Peace,Über der Gesetz von Krieg und Friede
Cracked nipple,Gebrochene Brustwarze
Lincoln Mark VIII,Lincoln Mark VIII
artistic gymnastics at the Summer Olympics,Kunstturnen bei der Olympische Sommerspielen
1926 Lithuanian coup d'état,1926 Litauischer Staatsstreich
Sex and the City,Sex und der Stadt
Dragonfly in Amber,Libelle in Bernstein
1917 Russian Constituent Assembly election,Wahl der Verfassunggebende Versammlung in Russland 1917
FC Znamya Truda,FC Znamya Truda
FC Znamya Truda Orekhovo-Zuyevo,FC Znamya Truda Orekhovo-Zuyevo
FIBA Americas League,FIBA Amerikanisch Liga
1968 Red Square demonstration,Demonstration auf der Rote Platz 1968
BDO World Darts Championship,BDO Darts Weltmeisterschaft
William Shakespeare's late romances,William Shakespeare spät Romanze
Summer services,Sommer Dienstleistungen
Murder on the Leviathan,Mord auf der Leviathan
sorrel soup,Sauerampfersuppe
green borscht,grün Borschtsch
green shchi,grün shchi
green soup,grüne Suppe
FC Veres Rivne,FC Veres Rivne
Advanced SystemCare,Erweiterter SystemCare
The Inheritance of Loss,Der Vererbung der Verlust
The Virtue of Selfishness,Der Tugend der Egoismus
Cretan revolt of 1866–1869,Kretische Revolte von 1866–1869
1860s Cretan revolt,1860er Kretische Revolte
Cretan revolt (1866–1869),Kretische Revolte (1866–1869)
Williams FW08,William FW08
Book of Henryków,Buch von Henryków
Book of Henrykow,Buch von Henrykow
Christian Democratic Party of Honduras,Christlich-Demokratische Partei von Honduras
A Stranger in the Mirror,Ein Fremder im Spiegel
Unitarios y federales,Unitarios y föderal
Dexter in the Dark,Dexter im Dunkel
2012 Costa Rica earthquake,Erdbeben in Costa Rica 2012
Beyond Freedom and Dignity,Jenseits von Freiheit und Würde
And the Hippos Were Boiled in Their Tanks,Und der Nilpferd werden in mein Tank kochen
Hans Brinker  or The Silver Skates,Hans Brinker oder Der Silberne Schlittschuh
Partido Komunista ng Pilipinas-1930,Partido Komunista ng Pilipinas-1930
2009 Bolivian general election,Parlamentswahl in Bolivien 2009
Bolivian presidential election  2009,Präsidentschaftswahl in Bolivien 2009
Saint Luke's Tower,St. Lukas Turm
St Luke's Garden,St. Luke Garde
St Luke's Tower,St. Luke Tower
Saint Luke's Garden,St. Lukas Garten
BBC Kids,BBC Kind
Пуля для адвоката,Пуля для адвоката
Surely You're Joking  Mr. Feynman!,Sicherlich machen Ich Witz Mr. Feynman!
La Mécanique du cœur,La Mécanique du cœur
Cider with Rosie,Apfelwein mit Rosie
Devetashka cave,Dewetaschka Höhle
Gimnasia y Tiro,Gimnasia y Tiro
Shepherd's Bush Empire,Shepherd Bush Reich
O2 Shepherd's Bush Empire,O2 Shepherd Bush Reich
BBC Television Theatre,BBC Fernsehtheater
The Voyage of the Space Beagle,Der Reise der Weltraum Beagle
timeline of architecture,Zeitleiste der Architektur
Academy of Art University,Akademie der Kunst Universität
Academy of Art U,Akademie der Kunst U
Academy of Art,Akademie der Kunst
Academy of Art College,Akademie der Kunst
Academy of Advertising Art,Akademie der Werbekunst
Richard Stephens Academy of Art,Richard Stephens Akademie der Kunst
Audit Board of Indonesia,Prüfungsausschuss von Indonesien
capital punishment in New York,Todesstrafe in New York
AS Salé,AS Salé
Australia at the Winter Olympics,Olympisch Winterspiele Australien
capital punishment in Indonesia,Todesstrafe in Indonesien
France at the Paralympics,Frankreich bei der Paralympics
All That Is Solid Melts into Air,Alle was fest sein schmelzen in Luft
BlackBerry Pearl,BlackBerry-Perle
Second Temple period,Zweiter Tempelzeit
post-Exilic period,Nachexilische Zeit
Bhakti movement,Bhakti-Bewegung
Amusing Ourselves to Death,Amüsieren sich bis zum Tod
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Sich zu Tod amüsieren: Öffentlicher Diskurs im Zeitalter der Showbusiness
Amusing ourselves to death,Amüsieren sich bis zum Tod
capital punishment in the Philippines,Todesstrafe auf der Philippinen
Cahier d'un retour au pays natal,Cahier d retour au zahlen natal
National fund for social welfare organizations,Nationaler Fond für soziale Wohlfahrtsverbände
2006 NCAA Men's Division I Basketball Tournament,Basketball-Turnier der NCAA Männer-Division I 2006
NCAA Division I Women's Basketball Tournament,NCAA Division I Basketballturnier der Frau
NCAA Women's Division I Basketball Championship,NCAA Women Division I Basketball Meisterschaft
NCAA Women's Division I Basketball Tournament,Basketball-Turnier der NCAA Women Division I
NCAA Division I Women's Basketball Championship,NCAA Division I Basketball Meisterschaft der Frau
2009 NCAA Division I FBS football season,2009 NCAA Division I FBS Fußballsaison
hemorrhagic shock,hämorrhagischer Schock
The Royal Conservatory of Music,Der Königlich Konservatorium der Musik
Royal Conservatory of Music  Toronto,Königliches Konservatorium der Musik Toronto
Toronto College of Music,Hochschule für Musik Toronto
Royal Conservatory of Toronto,Königliches Konservatorium von Toronto
agrarian socialism,Agrarsozialismus
Commentaries on the Laws of England,Kommentar zu der Gesetz England
City of Sa Dec,Stadt von Sa Dec
Office for Democratic Institutions and Human Rights,Büro für Demokratisch Institution und Menschenrechte
Office for Free Elections,Amt für Freier Wahl
Connecticut for Lieberman,Connecticut für Lieberman
religious cosmology,religiös Kosmologie
cosmology in religion,Kosmologie in der Religion
Crédit agricole du Maroc,Crédit agricole du Maroc
Credit agricole du Maroc,Credit agricole du Maroc
The God that Failed,Der Gott der versagen haben
Down and Out in the Magic Kingdom,In der Warenkorb Vergleich Merken
Machado-Joseph disease,Machado-Joseph-Krankheit
Azorean disease (disorder),Azoren-Krankheit (Erkrankung)
spinocerebellar ataxia type 3,Spinozerebelläre Ataxie Typ 3
spinocerebellar ataxia 3,Spinozerebelläre Ataxie 3
Azorean disease,Azorenkrankheit
Autosomal dominant striatonigral degeneration,Autosomal dominant Striatonigraldegeneration
Nigro-spino-dentatal degeneration with nuclear ophthalmoplegia,Nigro-spino-dentatale Degeneration mit nuklear Ophthalmoplegie
Machado disease,Machado-Krankheit
Azorean disease of the nervous system,Azorean-Krankheit der Nervensystems
ESPN Radio,ESPN Radio
Byzantine Empire under the Komnenos dynasty,Byzantinisches Reich unter der Dynastie der Komnenos
The Idea of Justice,Der Idee der Gerechtigkeit
The Idea of Justice (book),Der Idee der Gerechtigkeit (Buch)
The Executioner's Song,Der Lied der Henker
No Orchids for Miss Blandish,Kein Orchidee für Miss Blandish
FC Villefranche,FC Villefranche
Niigata Kenmin FM Broadcast,Niigata Kenmin FM Broadcast
The Conquest of America: The Question of the Other,Der Eroberung Amerika: Der Frage nach der Andere
GW Pharmaceuticals,GW Pharmaceuticals
GW Pharmaceuticals PLC,GW Pharmaceuticals PLC
Athletic pubalgia,Athletisch Pubalgie
septicemic plague,Septicämische Pest
Septicemic plague (disorder),Septicemische Pest (Erkrankung)
Septicemic plague,Septicämische Pest
Intertestamental period,Zwischentestamentaler Zeitraum
femoral hernia,Oberschenkelhernie
1964 Niigata earthquake,Erdbeben in Niigata 1964
Military Academy incident,Vorfall der Militärakademie
November incident,Zwischenfall im November
JSM Skikda,JSM Skikda
Tokyo Medical and Dental University,Medizinisch und zahnmedizinische Universität Tokio
Tōkyō ika shika daigaku,Tōkyō ika shika daigaku
Jovem Pan FM,Jovem Pan FM
Panathinaikos women's basketball,Panathinaikos Frau Basketball
The Art of Memory,Der Kunst der Erinnerung
Fifth-generation programming language,Programmiersprache der fünft Generation
La Bicyclette bleue,La Bicyclette bleuen
Mao's Great Famine,Maos groß Hungersnot
Mao's Great Famine: The History of China's Most Devastating Catastrophe  1958–62,Maos groß Hungersnot: Der Geschichte von China verheerendster Katastrophe 1958-1962
Parable of the Talents,Gleichnis von der Talent
Where the Air Is Clear,Wo der Luft rein sein
La Tragédie du roi Christophe,La Tragédie du roi Christophe
Il segreto del Bosco Vecchio,Il segreto del Bosco Vecchio
2009 Shizuoka earthquake,Shizuoka-Erdbeben 2009
Confessions of an Italian,Bekenntnis ein Italiener
les mains du miracle,les mains du wundern
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,Aus der vermischen Akte von Mrs. Basil E. Frankweiler
21st Century Museum of Contemporary Art,Museum für Zeitgenössische Kunst der 21. Jahrhundert
21st Century Museum of Contemporary Art  Kanazawa,Museum für Zeitgenössische Kunst der 21. Jahrhundert Kanazawa
Polish scouting,Polnisch Scouting
Madrid bid for the 2020 Summer Olympics,Madrid bewerben sich für der Olympische Sommerspiele 2020
TC 2000 Championship,TC 2000 Meisterschaft
Zulu rebellion,Zulu-Rebellion
Poll tax rebellion,Umfrage Steuerrebellion
Esporte Clube XV de Novembro,Esporte Clube XV de Novembro
XV de Jau,XV de Jau
Republican Party of India,Republikanische Partei Indien
Regional High-Standard Highways in Japan,Regional Autobahn mit hoch Standard in Japan
Maisons familiales rurales,Maisons familiales rurales
The Collected Works of C. G. Jung,Der gesammelt Werk von C. G. Jung
arts administration,Kunstverwaltung
arts management,Kunstmanagement
vagal maneuver,Vagales Manöver
The People of Hemsö,Der Mensch von Hemsö
2010 United States Senate election in Alabama,Senatswahl in der Vereinigte Staat 2010 in Alabama
2010 United States Senate election in Alaska,Senatswahl in der Vereinigte Staat 2010 in Alaska
2010 United States Senate election in Alaska,Senatswahl in der Vereinigte Staat 2010 in Alaska
United States Senate election in Alaska  2010,Senatswahl in der Vereinigte Staat in Alaska 2010
list of Independent Administrative Institutes in Japan,Liste der unabhängig Verwaltungsinstitute in Japan
Monts d'Or Azergues Foot,Monts d Azergues Fuß
Mexican elections  2003,Wahl in Mexiko 2003
NCAA Division I Men's Golf Championships,NCAA Division I Herr Golf Championships
Peugeot ROA,Peugeot ROA
National Bureau of Investigation,Nationales Untersuchungsbüro
Inter-University Centre for Astronomy and Astrophysics,Interuniversitäres Zentrum für Astronomie und Astrophysik
multiple endocrine neoplasia type 1,multiple endokrine Neoplasie Typ 1
MEN type I,MEN Typ I
Wermer syndrome,Wermer-Syndrom
Wermer's syndrome,Wermer-Syndrom
MEN1 syndrome,MEN1-Syndrom
MEA Type I,MEA Typ I
MEN Type 1,MEN Typ 1
MEA Type 1,MEA Typ 1
multiple endocrine neoplasia type 1 syndrome,multiple endokrine Neoplasie Typ 1 Syndrom
Endocrine adenomatosis multiple,Endokrine Adenomatose multiple
General Francos's opposition,Der Opposition von General Francos
Conservative Party of Quebec,Konservativer Partei von Québec
Conservative Party of Québec,Konservativer Partei von Québec
2012 United States Senate election in Connecticut,Senatswahl in der Vereinigte Staat 2012 in Connecticut
S.S.D. Città di Messina,S.S.D. Città di Messina
S.S.D. Citta di Messina,S.S.D. Città di Messina
Società Sportiva Dilettantistica Città di Messina,Società Sportiva Dilettantistica Città di Messina
Software construction,Software-Konstruktion
Greggs plc,Greggs plc
presidency of Evo Morales,Präsidentschaft von Evo Morales
Khmer Rouge rule of Cambodia,Der Rote Khmer herrschen in Kambodscha
2010 United States Senate election in Georgia,Senatswahl in der Vereinigte Staat 2010 in Georgia
On Heroes and Tombs,Über Held und Gräber
Indian Institute of Technology Patna,Indisches Institut für Technologie Patna
