label,why
şarj,common word (charge)
şarkı söylemek,common word (sing)
şarkı,common word (song)
satın aldı,common word (bought)
satın,common word (buy)
satır,common word (row)
satmak,common word (sell)
savaş,common word (war)
sayfa,common word (page)
saymak,common word (count)
seçim,common word (choose)
seçin,common word (select)
seçmek,common word (pick)
segmenti,common word (segment)
Şehir,common word (city)
şeker,common word (sugar)
şekil,common word (shape)
sekiz,common word (eight)
sembol,common word (symbol)
sen,common word (you)
senin,common word (your)
sense,common word (sense)
serin,common word (cool)
sermaye,common word (capital)
sert,common word (hard)
ses,common word (sound)
ses,common word (voice)
sesi,common word (tone)
sessiz,common word (quiet)
sessiz,common word (silent)
set,common word (set)
sevgili,common word (dear)
sevinç,common word (joy)
seviyesi,common word (level)
şey,common word (thing)
seyahat,common word (travel)
sezon,common word (season)
Shall,common word (shall)
sıcak,common word (hot)
sıcak,common word (hot)
sıcak,common word (warm)
sıcaklık,common word (temperature)
şiir,common word (poem)
sık sık,common word (often)
Şimdi,common word (now)
sınıf,common word (class)
sipariş,common word (order)
sırasında,common word (during)
şirket,common word (company)
şişman,common word (fat)
sistem,common word (system)
sıvı,common word (liquid)
siyah,common word (black)
soğuk,common word (cold)
sokak,common word (street)
sol,common word (left)
son,common word (end)
son,common word (last)
sonek,common word (suffix)
sonra,common word (after)
sonraki,common word (next)
sonrası,common word (post)
sonuç,common word (result)
sopa,common word (stick)
sormak,common word (ask)
soru,common word (question)
sorun,common word (problem)
sorun,common word (trouble)
söyle,common word (tell)
söyledi,common word (told)
Sözlük,common word (dictionary)
standı,common word (stand)
streç,common word (stretch)
su,common word (water)
şube,common word (branch)
süre,common word (while)
süreç,common word (process)
sürpriz,common word (surprise)
sürücü,common word (drive)
süt,common word (milk)
sütun,common word (column)
tablo,common word (table)
takım elbise,common word (suit)
takım,common word (team)
tam,common word (exact)
tam,common word (full)
tanımlamak,common word (describe)
tarafından,common word (by)
tartışma,common word (talk)
tartışmak,common word (discuss)
taş,common word (stone)
taşımak,common word (carry)
taze,common word (fresh)
tehlike,common word (danger)
tek,common word (single)
tekerlek,common word (wheel)
teklif,common word (offer)
tekne,common word (boat)
tekrar,common word (again)
tekrar,common word (repeat)
tel,common word (wire)
temel,common word (basic)
temiz,common word (clean)
temsil,common word (represent)
tepe,common word (hill)
teşekkür ederim,common word (thank)
Test,common word (test)
testere,common word (saw)
ticaret,common word (trade)
tipi,common word (type)
tırmanış,common word (climb)
tohum,common word (seed)
top,common word (ball)
toplam,common word (total)
toplamak,common word (collect)
toplamak,common word (gather)
toprak,common word (earth)
toprak,common word (soil)
tren,common word (train)
tüm,common word (all)
tüp,common word (tube)
tür,common word (kind)
tutmak,common word (keep)
tuttu,common word (kept)
tutulan,common word (held)
tutun,common word (hold)
tuz,common word (salt)
üç,common word (three)
üçgen,common word (triangle)
uçmak,common word (fly)
ücretsiz,common word (free)
üçüncü,common word (third)
ulaşmak,common word (reach)
ülke,common word (country)
ulus,common word (nation)
umut,common word (hope)
ünitesi,common word (unit)
ünlü,common word (famous)
ünlü,common word (vowel)
ünsüz,common word (consonant)
üretmek,common word (produce)
ürün,common word (product)
üst,common word (top)
usta,common word (master)
uygulama,common word (practice)
uygun,common word (fit)
uygun,common word (proper)
uyku,common word (sleep)
uzak,common word (distant)
uzay,common word (space)
üzerinde,common word (on)
üzerinde,common word (over)
üzerinden,common word (out)
uzun boylu,common word (tall)
uzun,common word (long)
uzunluk,common word (length)
vadeli,common word (term)
vadi,common word (valley)
vahşi,common word (wild)
var,common word (got)
var,common word (has)
var,common word (have)
vardı,common word (had)
vardı,common word (were)
vardır,common word (are)
varmak,common word (arrive)
ve,common word (and)
verdi,common word (gave)
vermek,common word (give)
veya,common word (or)
vücut,common word (body)
vurmak,common word (hit)
win,common word (win)
would,common word (would)
ya da,common word (either)
yağ,common word (oil)
yağmur,common word (rain)
yakalandı,common word (caught)
yakın,common word (close)
yakın,common word (near)
yakında,common word (soon)
yalan,common word (lie)
yalnız,common word (lone)
yan,common word (side)
yangın,common word (fire)
Yani,common word (mean)
yanlış,common word (wrong)
yanmak,common word (burn)
yapamaz,common word (don’t)
yapılan,common word (made)
yapmak,common word (make)
yaptım,common word (did)
yarasa,common word (bat)
yarda,common word (yard)
yardım,common word (help)
yarım,common word (half)
yarış,common word (race)
yaş,common word (age)
yatak,common word (bed)
yavaş,common word (slow)
yaymak,common word (spread)
yaz,common word (summer)
yazdı,common word (wrote)
yazılı,common word (written)
yazmak,common word (write)
yedi,common word (seven)
yelken,common word (sail)
yemek,common word (eat)
yendi,common word (beat)
yeni,common word (new)
yer,common word (place)
yerine,common word (rather)
yerleşmek,common word (settle)
yerleştirmek,common word (locate)
yeşil,common word (green)
yetenekli,common word (able)
yeterli,common word (enough)
yıkama,common word (wash)
yıl,common word (year)
yıldız,common word (star)
yirmi,common word (twenty)
yok,common word (does)
yol,common word (path)
yol,common word (road)
yol,common word (way)
yöntem,common word (method)
yukarı,common word (up)
yukarıdaki,common word (above)
yüksek sesle,common word (loud)
yüksek,common word (high)
yükselecek,common word (rise)
yükseltmek,common word (raise)
yumurta,common word (egg)
yumuşak,common word (soft)
yürümek,common word (walk)
yuvarlak,common word (round)
yüz,common word (face)
yüz,common word (hundred)
yüzde,common word (cent)
yüzey,common word (surface)
yüzmek,common word (swim)
yüzyıl,common word (century)
zaman,common word (time)
zaman,common word (when)
zemin,common word (floor)
zemin,common word (ground)
zengin,common word (rich)
zift,common word (pitch)
zihin,common word (mind)
ziyareti,common word (visit)
zor,common word (difficult)
Online,
